Geneid	gene_name	Mocetinostat_rep3	Mocetinostat_rep2	DMSO_rep2	Mocetinostat_rep1	DMSO_rep3	DMSO_rep1
ENSG00000284029	MIR6805	0	0	0	0	0	0
ENSG00000108106	UBE2S	278	252	528	652	700	1116
ENSG00000187902	SHISA7	7	7	1	32	2	1
ENSG00000063241	ISOC2	45	46	156	124	250	338
ENSG00000283567	C19orf85	0	0	1	0	0	0
ENSG00000279063	AC008735.5	0	0	1	4	0	0
ENSG00000269859	AC008735.3	0	0	0	0	0	2
ENSG00000197483	ZNF628	3	7	56	53	78	154
ENSG00000090971	NAT14	35	33	72	73	92	105
ENSG00000179954	SSC5D	13	4	18	14	22	16
ENSG00000187550	SBK2	0	0	0	0	0	0
ENSG00000231274	SBK3	0	1	0	0	2	0
ENSG00000218891	ZNF579	21	9	120	45	139	200
ENSG00000179943	FIZ1	23	8	74	28	117	179
ENSG00000171443	ZNF524	4	9	18	17	18	39
ENSG00000261221	ZNF865	26	35	96	77	174	219
ENSG00000276488	AC008735.4	0	0	0	0	0	0
ENSG00000179922	ZNF784	4	2	14	7	11	32
ENSG00000213015	ZNF580	65	40	138	99	175	275
ENSG00000171425	ZNF581	14	5	51	30	89	143
ENSG00000173581	CCDC106	36	29	75	32	98	117
ENSG00000063244	U2AF2	244	147	1677	513	2467	3103
ENSG00000267523	AC008735.2	0	0	0	6	0	2
ENSG00000267096	AC008735.1	0	0	7	2	4	15
ENSG00000063245	EPN1	476	315	996	1029	1400	1750
ENSG00000267117	AC010525.1	0	0	0	0	0	0
ENSG00000267689	AC010525.2	0	0	0	0	0	0
ENSG00000268593	AC008749.1	0	0	0	0	0	0
ENSG00000185792	NLRP9	0	0	0	1	0	2
ENSG00000222524	RN7SKP109	0	0	0	0	0	0
ENSG00000223638	RFPL4A	3	5	0	14	0	1
ENSG00000229292	RFPL4AL1	1	1	0	2	0	0
ENSG00000255238	RFPL4AP1	0	0	2	0	0	0
ENSG00000179873	NLRP11	0	0	1	1	4	3
ENSG00000160505	NLRP4	1	0	0	1	0	0
ENSG00000173572	NLRP13	0	3	0	2	0	0
ENSG00000179709	NLRP8	1	1	0	3	5	0
ENSG00000171487	NLRP5	16	5	0	22	2	0
ENSG00000267522	LINC01864	0	0	0	1	0	0
ENSG00000142409	ZNF787	26	22	201	66	256	355
ENSG00000223060	Y_RNA	0	0	0	0	0	0
ENSG00000279959	AC024580.2	0	0	0	0	0	0
ENSG00000167685	ZNF444	56	46	192	118	261	311
ENSG00000279794	AC024580.1	1	0	1	5	7	7
ENSG00000197487	GALP	0	1	3	0	0	0
ENSG00000197213	ZSCAN5B	0	0	0	2	1	0
ENSG00000204532	ZSCAN5C	0	0	0	1	0	0
ENSG00000242411	AC011506.1	0	0	1	1	0	3
ENSG00000131848	ZSCAN5A	23	7	97	59	123	228
ENSG00000267908	ZSCAN5DP	3	1	0	0	0	0
ENSG00000267710	EDDM13	2	0	1	2	0	0
ENSG00000267298	AC006116.5	0	1	2	0	6	15
ENSG00000267549	AC006116.8	3	3	1	6	1	7
ENSG00000200646	Y_RNA	0	0	0	0	0	0
ENSG00000213014	VN2R17P	0	0	0	0	0	2
ENSG00000266907	AC006116.1	0	0	2	0	2	7
ENSG00000267145	AC006116.3	0	0	0	0	0	0
ENSG00000266932	AC006116.2	0	1	1	0	1	3
ENSG00000267429	AC006116.6	1	0	1	1	1	5
ENSG00000267606	AC006116.9	0	7	5	3	3	4
ENSG00000240225	ZNF542P	70	45	153	143	200	445
ENSG00000018869	ZNF582	3	2	13	22	28	50
ENSG00000267776	AC006116.10	0	0	1	0	0	0
ENSG00000267459	AC006116.7	0	0	1	0	0	1
ENSG00000285996	AC006116.11	1	0	4	3	14	7
ENSG00000267781	SLC25A36P1	0	0	0	3	0	0
ENSG00000267192	AC006116.4	0	0	0	0	0	0
ENSG00000267454	ZNF582-AS1	5	7	4	22	7	11
ENSG00000198440	ZNF583	11	11	27	28	75	145
ENSG00000198046	ZNF667	55	59	109	156	232	282
ENSG00000166770	ZNF667-AS1	60	40	97	117	125	196
ENSG00000279405	AC004696.2	0	0	0	0	1	0
ENSG00000276578	AC004696.1	0	0	1	0	0	0
ENSG00000196263	ZNF471	39	18	43	55	84	122
ENSG00000267224	AC005498.1	0	2	0	0	0	3
ENSG00000267421	AC005498.2	0	0	0	0	3	1
ENSG00000196867	ZFP28	38	38	64	115	71	159
ENSG00000269696	AC005498.3	2	1	1	8	0	4
ENSG00000197016	ZNF470	44	20	72	77	95	188
ENSG00000268847	SIGLEC31P	0	0	0	0	0	0
ENSG00000197951	ZNF71	46	28	86	80	118	209
ENSG00000269793	ZIM2-AS1	0	0	0	0	0	1
ENSG00000268182	SMIM17	4	0	6	10	4	5
ENSG00000127903	ZNF835	0	1	0	1	1	0
ENSG00000286125	AC006115.2	2	1	1	7	8	7
ENSG00000268067	OR5AH1P	0	0	0	0	0	0
ENSG00000269699	ZIM2	0	0	0	0	0	1
ENSG00000268407	AC006115.1	0	0	0	0	0	0
ENSG00000198300	PEG3	41	19	4	57	0	1
ENSG00000268654	MIMT1	0	0	0	0	0	0
ENSG00000274777	AC004792.1	0	0	0	0	0	0
ENSG00000269786	AC044792.1	0	0	0	0	0	0
ENSG00000268483	RPL7AP69	0	1	0	3	0	0
ENSG00000274219	AC025588.4	0	0	0	0	0	0
ENSG00000131864	USP29	3	0	0	1	2	0
