circRNAs	Normal1_count	Normal2_count	Normal3_count	Tumor1_count	Tumor2_count	Tumor3_count
novel_circ_050670	13.69151229	29.50063562	17.58287321	29.99678273	0	0
novel_circ_050671	10.04044235	4.370464537	5.33765794	0	0	0
novel_circ_050673	9.127674861	2.731540335	4.081738424	0	0	0
novel_circ_050678	1.825534972	4.916772604	9.419396364	18.25891123	0	0
novel_circ_050686	5.476604917	2.731540335	5.33765794	7.825247669	0	0
novel_circ_050687	421.6985786	260.588948	247.1021646	296.0552035	61.89247975	13.92335932
novel_circ_050688	7.302139889	9.28723714	5.023678061	0	7.736559969	0
novel_circ_050695	1.825534972	7.102004872	7.84949697	0	0	0
novel_circ_050697	4.56383743	6.009388738	32.96788727	0	0	0
novel_circ_050698	0.912767486	2.185232268	4.081738424	0	0	0
novel_circ_050700	0.912767486	2.185232268	0	7.825247669	0	0
novel_circ_050704	22.81918715	30.04694369	69.07557334	13.04207945	0	0
novel_circ_050706	2.738302458	18.02816621	12.24521527	9.129455613	15.47311994	0
novel_circ_050707	0.912767486	9.833545207	4.081738424	0	0	0
novel_circ_050708	41.98730436	118.0025425	125.9059314	49.5599019	328.8037987	35.67860826
novel_circ_050717	7.302139889	3.277848402	10.361336	0	0	0
novel_circ_050750	9.127674861	4.916772604	6.907557334	14.34628739	0	0
novel_circ_050761	11.86597732	2.185232268	4.709698182	0	0	0
novel_circ_050763	5.476604917	1.638924201	0	7.825247669	0	0
novel_circ_050778	2.738302458	2.185232268	2.51183903	9.129455613	0	0
novel_circ_050779	13.69151229	26.22278722	12.55919515	15.65049534	0	0
novel_circ_050791	19.16811721	24.58386302	6.593577455	0	0	0
novel_circ_050792	101.317191	59.54757931	49.60882085	58.68935751	0	0
novel_circ_050796	5.476604917	2.185232268	3.453778667	7.825247669	0	0
novel_circ_050798	0	3.277848402	0	9.129455613	0	34.8083983
novel_circ_050801	31.03409453	24.58386302	14.12909455	13.04207945	15.47311994	0
novel_circ_050802	9.127674861	9.833545207	8.791436606	0	0	0
novel_circ_050806	8.214907375	3.82415647	10.67531588	0	0	0
novel_circ_050812	0.912767486	0.546308067	12.24521527	0	0	0
novel_circ_050822	10.95320983	3.82415647	4.709698182	0	0	0
novel_circ_050826	13.69151229	9.28723714	14.12909455	13.04207945	7.736559969	0
novel_circ_050838	132.3512855	58.45496318	6.279597576	0	0	0
novel_circ_050857	9.127674861	4.370464537	6.279597576	0	0	0
novel_circ_050863	10.04044235	14.75031781	30.45604824	0	0	0
novel_circ_050865	1140.04659	972.9746675	389.0210698	251.7121333	0	43.51049788
novel_circ_050867	63.89372403	69.38112452	28.57216897	0	0	0
novel_circ_050872	23.73195464	16.93555008	0	15.65049534	0	0
novel_circ_050883	5.476604917	6.009388738	0	11.7378715	0	0
novel_circ_050884	3.651069944	4.370464537	0	24.77995095	0	0
novel_circ_050886	36.51069944	7.102004872	3.139798788	28.69257478	0	0
novel_circ_050888	56.59158414	24.58386302	39.24748485	33.90940656	0	0
novel_circ_050901	11.86597732	1.638924201	18.21083297	0	0	0
novel_circ_050903	46.55114179	10.92616134	27.63022933	5.216831779	0	0
novel_circ_050920	8.214907375	9.833545207	0	3.912623834	0	0
novel_circ_050924	18.25534972	21.85232268	12.87317503	0	0	0
novel_circ_050931	35.59793196	19.66709041	6.279597576	18.25891123	0	0
novel_circ_050934	6.389372403	1.638924201	0	16.95470328	0	0
novel_circ_050937	6.389372403	7.102004872	7.221537212	0	0	0
novel_circ_050938	15.51704726	4.916772604	3.453778667	0	0	0
novel_circ_050939	34.68516447	2.731540335	40.50340437	0	0	0
novel_circ_050943	0	12.01877748	15.69899394	14.34628739	0	0
novel_circ_050946	41.98730436	27.31540335	66.56373431	15.65049534	0	0
novel_circ_050947	15.51704726	30.59325176	27.00226958	5.216831779	0	0
novel_circ_050948	34.68516447	16.38924201	23.23451103	0	7.736559969	0
novel_circ_050953	19.16811721	30.59325176	12.55919515	0	0	49.60196758
novel_circ_050965	13.69151229	7.648312939	0	3.912623834	0	0
novel_circ_050968	3.651069944	4.370464537	0	10.43366356	0	0
novel_circ_050970	6.389372403	6.009388738	6.907557334	3.912623834	38.68279985	0
novel_circ_050972	3.651069944	1.092616134	0	13.04207945	0	0
novel_circ_050978	117.7470057	96.69652787	53.06259952	86.07772435	0	0
novel_circ_050979	5.476604917	7.648312939	3.453778667	6.521039724	0	0
novel_circ_050980	9.127674861	4.916772604	0	31.30099067	0	0
novel_circ_050983	0.912767486	1.092616134	8.163476849	0	0	0
novel_circ_050986	1.825534972	3.277848402	14.7570543	0	0	0
novel_circ_050987	14.60427978	6.009388738	12.24521527	0	0	0
novel_circ_050988	23.73195464	16.93555008	8.477456728	0	0	0
novel_circ_050989	36.51069944	73.20528099	55.26045867	6.521039724	61.89247975	0
novel_circ_050990	140.5661929	209.2359897	130.6156296	10.43366356	0	43.51049788
